customer_id,age,region,signup_date,acquisition_channel,acquisition_campaign_id
CUST000001,23,Central,2021-12-28,Organic,
CUST000002,62,Central,2025-12-13,Organic,
CUST000003,55,West,2021-03-17,Paid Search,CAMP14
CUST000004,43,East,2022-06-26,Email,CAMP09
CUST000005,43,East,2023-11-01,Social Media,CAMP22
CUST000006,67,East,2025-07-23,Social Media,CAMP25
CUST000007,22,North,2024-09-02,Organic,
CUST000008,58,Central,2025-06-30,Organic,
CUST000009,29,West,2023-03-19,Email,CAMP08
CUST000010,23,East,2025-04-11,Social Media,CAMP21
CUST000011,48,North,2022-08-03,Paid Search,CAMP16
CUST000012,74,North,2021-10-17,Organic,
CUST000013,60,Central,2025-06-23,Paid Search,CAMP14
CUST000014,62,North,2024-04-19,Email,CAMP06
CUST000015,59,North,2021-05-02,Paid Search,CAMP18
CUST000016,63,East,2022-11-25,Email,CAMP06
CUST000017,47,West,2021-12-09,Email,CAMP08
CUST000018,25,North,2023-05-14,Organic,
CUST000019,66,North,2024-05-07,Social Media,CAMP22
CUST000020,44,West,2021-10-09,Email,CAMP03
CUST000021,47,Central,2025-07-26,Paid Search,CAMP13
CUST000022,39,East,2025-11-20,Email,CAMP02
CUST000023,28,West,2024-04-25,Organic,
CUST000024,71,South,2022-04-30,Social Media,CAMP22
CUST000025,63,West,2022-02-14,Email,CAMP02
CUST000026,55,East,2025-04-17,Email,CAMP04
CUST000027,41,Central,2023-03-06,Organic,
CUST000028,65,West,2021-04-20,Organic,
CUST000029,49,South,2023-01-12,Organic,
CUST000030,43,North,2024-12-17,Email,CAMP01
CUST000031,44,West,2024-03-12,Paid Search,CAMP11
CUST000032,31,North,2024-12-25,Email,CAMP09
CUST000033,23,West,2024-05-02,Organic,
CUST000034,50,East,2022-04-22,Paid Search,CAMP16
CUST000035,69,North,2023-10-28,Organic,
CUST000036,21,West,2023-11-03,Paid Search,CAMP16
CUST000037,67,East,2025-12-01,Email,CAMP07
CUST000038,66,Central,2022-06-28,Paid Search,CAMP11
CUST000039,34,North,2022-08-19,Organic,
CUST000040,54,North,2022-01-20,Organic,
CUST000041,27,North,2022-12-01,Paid Search,CAMP11
CUST000042,61,South,2024-02-03,Paid Search,CAMP18
CUST000043,58,East,2023-03-02,Email,CAMP04
CUST000044,38,South,2024-08-17,Email,CAMP04
CUST000045,21,North,2021-04-22,Email,CAMP05
CUST000046,74,Central,2024-07-25,Paid Search,CAMP11
CUST000047,43,North,2025-07-06,Social Media,CAMP21
CUST000048,69,South,2025-03-12,Email,CAMP05
CUST000049,57,Central,2023-04-18,Organic,
CUST000050,63,East,2024-07-30,Paid Search,CAMP13
CUST000051,62,South,2024-11-17,Social Media,CAMP22
CUST000052,29,Central,2022-11-30,Paid Search,CAMP16
CUST000053,39,East,2022-11-21,Social Media,CAMP20
CUST000054,45,North,2025-11-24,Organic,
CUST000055,46,North,2025-02-11,Organic,
CUST000056,20,Central,2025-10-12,Paid Search,CAMP16
CUST000057,49,South,2025-05-04,Organic,
CUST000058,26,West,2023-04-06,Paid Search,CAMP11
CUST000059,61,North,2022-12-31,Email,CAMP04
CUST000060,57,North,2025-11-09,Email,CAMP10
CUST000061,71,Central,2023-06-26,Organic,
CUST000062,61,Central,2025-12-01,Organic,
CUST000063,39,North,2024-02-12,Organic,
CUST000064,74,North,2024-09-19,Social Media,CAMP21
CUST000065,41,West,2024-07-22,Social Media,CAMP20
CUST000066,36,East,2025-01-14,Organic,
CUST000067,70,South,2021-09-24,Paid Search,CAMP12
CUST000068,39,North,2021-07-28,Paid Search,CAMP18
CUST000069,22,Central,2022-06-23,Organic,
CUST000070,45,North,2022-05-09,Email,CAMP01
CUST000071,64,South,2023-06-22,Social Media,CAMP19
CUST000072,28,South,2021-08-12,Paid Search,CAMP14
CUST000073,44,North,2023-09-07,Social Media,CAMP24
CUST000074,25,East,2021-10-07,Organic,
CUST000075,57,South,2024-08-26,Social Media,CAMP22
CUST000076,45,East,2024-11-20,Paid Search,CAMP15
CUST000077,37,South,2025-11-08,Social Media,CAMP20
CUST000078,31,North,2022-01-09,Social Media,CAMP20
CUST000079,50,Central,2021-05-31,Email,CAMP07
CUST000080,56,East,2022-11-22,Paid Search,CAMP15
CUST000081,72,South,2024-08-23,Email,CAMP06
CUST000082,43,North,2023-03-08,Paid Search,CAMP11
CUST000083,27,East,2022-01-14,Paid Search,CAMP13
CUST000084,66,West,2021-05-05,Social Media,CAMP20
CUST000085,54,East,2021-10-24,Email,CAMP04
CUST000086,58,West,2025-04-22,Paid Search,CAMP18
CUST000087,23,North,2025-02-06,Paid Search,CAMP15
CUST000088,36,Central,2025-03-25,Email,CAMP01
CUST000089,62,North,2023-07-25,Social Media,CAMP20
CUST000090,66,South,2021-02-04,Social Media,CAMP19
CUST000091,43,East,2024-05-18,Paid Search,CAMP12
CUST000092,64,North,2023-12-18,Email,CAMP08
CUST000093,66,East,2024-03-03,Social Media,CAMP19
CUST000094,40,North,2023-12-29,Social Media,CAMP20
CUST000095,70,West,2022-03-27,Social Media,CAMP21
CUST000096,34,West,2024-02-16,Organic,
CUST000097,31,East,2025-10-05,Organic,
CUST000098,57,East,2022-04-18,Organic,
CUST000099,54,South,2022-04-04,Social Media,CAMP21
CUST000100,26,West,2021-11-05,Social Media,CAMP22
CUST000101,66,East,2024-03-08,Social Media,CAMP22
CUST000102,29,East,2021-06-08,Organic,
CUST000103,64,North,2024-01-03,Paid Search,CAMP14
CUST000104,18,North,2024-08-10,Paid Search,CAMP11
CUST000105,64,South,2022-06-29,Organic,
CUST000106,63,West,2023-06-19,Organic,
CUST000107,63,Central,2022-03-25,Organic,
CUST000108,56,Central,2024-01-24,Social Media,CAMP25
CUST000109,45,East,2021-11-28,Social Media,CAMP23
CUST000110,58,East,2023-10-16,Paid Search,CAMP15
CUST000111,34,West,2023-11-04,Email,CAMP01
CUST000112,63,South,2024-04-16,Email,CAMP08
CUST000113,50,East,2025-07-06,Email,CAMP07
CUST000114,44,West,2024-07-12,Email,CAMP03
CUST000115,47,North,2022-05-17,Paid Search,CAMP12
CUST000116,50,South,2022-01-22,Organic,
CUST000117,20,South,2023-03-01,Paid Search,CAMP11
CUST000118,26,East,2024-06-10,Social Media,CAMP23
CUST000119,32,South,2022-12-20,Paid Search,CAMP15
CUST000120,24,North,2022-05-20,Email,CAMP02
CUST000121,43,North,2024-06-29,Paid Search,CAMP16
CUST000122,56,West,2021-02-20,Paid Search,CAMP11
CUST000123,55,Central,2025-03-09,Paid Search,CAMP13
CUST000124,45,Central,2025-02-04,Paid Search,CAMP18
CUST000125,67,West,2021-06-13,Email,CAMP06
CUST000126,50,North,2024-10-04,Social Media,CAMP21
CUST000127,22,North,2023-10-01,Organic,
CUST000128,62,East,2024-10-06,Organic,
CUST000129,51,East,2024-10-28,Email,CAMP03
CUST000130,54,West,2022-11-18,Email,CAMP08
